State,ECVotes,Votes
Alabama,9,"2,074,338"
Alaska,3,"300,495"
Arizona,11,"2,306,559"
Arkansas,6,"1,069,468"
California,55,"13,038,547"
Colorado,9,"2,569,522"
Connecticut,7,"1,558,960"
DC,3,"293,764"
Delaware,3,"413,921"
Florida,29,"8,474,179"
Georgia,16,"3,900,050"
Hawaii,4,"434,697"
Idaho,4,"652,274"
Illinois,20,"5,242,014"
Indiana,11,"2,624,534"
Iowa,6,"1,582,180"
Kansas,6,"1,156,254"
Kentucky,8,"1,797,212"
Louisiana,8,"1,994,065"
Maine,4,"713,180"
Maryland,10,"2,707,327"
Massachusetts,11,"3,167,767"
Michigan,16,"4,730,961"
Minnesota,10,"2,936,561"
Mississippi,6,"1,285,584"
Missouri,10,"2,757,323"
Montana,3,"484,048"
Nebraska,5,"794,379"
Nevada,6,"1,014,918"
New Hampshire,4,"710,972"
New Jersey,14,"3,640,292"
New Mexico,5,"783,757"
New York,29,"7,074,723"
North Carolina,15,"4,505,372"
North Dakota,3,"322,627"
Ohio,18,"5,580,822"
Oklahoma,7,"1,334,872"
Oregon,7,"1,789,270"
Pennsylvania,20,"5,742,040"
Rhode Island,4,"446,049"
South Carolina,9,"1,964,118"
South Dakota,3,"363,815"
Tennessee,11,"2,458,577"
Texas,38,"7,993,851"
Utah,6,"1,017,440"
Vermont,3,"299,290"
Virginia,13,"3,854,489"
Washington,12,"3,125,516"
West Virginia,5,"670,438"
Wisconsin,10,"3,068,434"
Wyoming,3,"249,061"
